ID,Name,Designator,Footprint,Quantity,Manufacturer Part,Manufacturer,Supplier,Supplier Part,Price,JLCPCB Part Class,Paste Type,JLCPCB SMD,LCSC Assembly
1,100nF,"C2,C3,C4,C5,C6",C0402,5,CC0402KRX7R7BB104,YAGEO,LCSC,C60474,0.0012,,,,
2,1uF,"C7,C8",C0402,2,CL05A105KQ5NNNC,SAMSUNG,LCSC,C107372,0.0025,,,Yes,Yes
3,220uF,C9,CAP-SMD_BD6.3-L6.6-W6.6-FD,1,VT0J221M-CRE54,Vertical Technology,LCSC,C305368,0.0407,,,,
4,KF8500-2P-8.4MM,CN1,KF8500-2P-8.4MM,1,KF8500-2p-8.4MM,Boom Precision Elec,LCSC,C42860,0.1383,,,,
5,PMEG4030ER/8X,"D1,D2",SOD-123_L2.8-W1.8-LS3.7-RD,2,PMEG4030ER/8X,Nexperia,LCSC,C458147,0.1643,,,,
6,DC005-2.0MM,DC1,DC-5020,1,DC005-2.0MM,SOFNG,LCSC,C111567,0.1548,,,,
8,PINHD-1X3,JP2,1X03,1,"2.54mm, 1x3 male header",,,,,,,,
9,TOUCH PAD,"K1,K2",TOUCH_PAD,2,Touch,,,,,,,,
10,ME6211C33M5G-N,LDO1,SOT-23-5_L3.0-W1.7-P0.95-LS2.8-BR,1,ME6211C33M5G-N,MICRONE,LCSC,C82942,0.0735,,,Yes,
11,0603 LED,"LED1,LED2",LED0603-R-RD,2,Pink 0603 LED,-,,,0.0294,Extended Part,,,
12,Pin,P1,HDR-8X2/2.54,1,"2.54mm,2×8Double female header - See Note",BOOMELE,LCSC,C30734,0.0886,,,,
13,UMH3N,Q1,SC-70-6_L2.2-W1.3-P0.65-LS2.1-BR,1,UMH3N,CJ,LCSC,C62892,0.0685,,,Yes,
14,AP2323GN-HF,Q5,SOT-23-3_L2.9-W1.3-P1.90-LS2.4-BR,1,AP2323GN-HF,Advanced Power Elec,LCSC,C380189,0.2402,,,,
15,10K,R1,R0402,1,RC0402JR-0710KL,YAGEO,LCSC,C60489,0.0007,,,,
16,10K,"R2,R4,R10",R0402,3,RC0402JR-071KL,YAGEO,LCSC,C105637,0.0006,,,,
17,100K,"R3,R11",R0402,2,RC0402JR-07100KL,YAGEO,LCSC,C106234,0.0007,,,,
18,5.1K,"R5,R6",R0402,2,RC0402JR-075K1L,YAGEO,LCSC,C105873,0.0009,,,,
19,1K,"R7,R8,R9",R0402,3,RC0402JR-071KL,YAGEO,LCSC,C105637,0.0006,,,,
20,220K,R12,R0402,1,0402WGF2203TCE,UniOhm,LCSC,C25767,0.0008,,,Yes,Yes
22,100K,R20,R0402,1,RC0402JR-071KL,YAGEO,LCSC,C105637,0.0006,,,,
25,K2-1809SN-D4DW-06,SW1,SMD-3.5X3.0X1.5,1,K2-1809SN-D4DW-06,HRO,LCSC,C128941,0.1067,,,,
27,ESP32-WROOM-32D,U3,WIFIM-SMD_39P-L25.5-W18.0-P1.27-BL,1,ESP32-WROOM-32D,ESPRESSIF 乐鑫,LCSC,C473012,3.2137,,expand,,
28,CH340C,U4,SOP-16_L10.0-W3.9-P1.27-LS6.0-BL,1,CH340C,WCH,LCSC,C84681,0.5284,,,Yes,
29,MF-MSMF150-2,U5,F1812,1,MF-MSMF150-2,BOURNS,LCSC,C89648,0.0376,,,,
30,KF301,"U7,U11",KF301,2,KF301,,,,,,,,
31,TYPE-C-31-M-12,USBC1,USB-C_SMD-TYPE-C-31-M-12,1,TYPE-C-31-M-12,Rectangular Connectors - Contacts,LCSC,C165948,0.3192,,expand,,